Failas output1.txt analizė:
Pozicija 1: Unikalių simbolių: 15, Didžiausias pasikartojimo dažnis: 7.344%, Mažiausias pasikartojimo dažnis: 5.893%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=57.20%, b1=53.15%, b2=53.07%, b3=52.72%
Pozicija 2: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.461%, Mažiausias pasikartojimo dažnis: 5.819%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.98%, b1=50.24%, b2=50.20%, b3=50.02%
Pozicija 3: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.041%, Mažiausias pasikartojimo dažnis: 0.287%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=55.22%, b1=53.00%, b2=52.98%, b3=53.10%
Pozicija 4: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.468%, Mažiausias pasikartojimo dažnis: 5.513%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.94%, b1=50.25%, b2=50.48%, b3=50.15%
Pozicija 5: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.464%, Mažiausias pasikartojimo dažnis: 0.643%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=57.18%, b1=51.92%, b2=52.94%, b3=52.81%
Pozicija 6: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.639%, Mažiausias pasikartojimo dažnis: 5.403%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.58%, b1=50.82%, b2=50.78%, b3=50.53%
Pozicija 7: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.009%, Mažiausias pasikartojimo dažnis: 0.909%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.80%, b1=52.65%, b2=52.97%, b3=52.88%
Pozicija 8: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.479%, Mažiausias pasikartojimo dažnis: 5.171%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.66%, b1=50.46%, b2=50.54%, b3=50.43%
Pozicija 9: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.204%, Mažiausias pasikartojimo dažnis: 1.128%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=55.26%, b1=51.56%, b2=52.39%, b3=52.61%
Pozicija 10: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.468%, Mažiausias pasikartojimo dažnis: 4.866%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.11%, b1=50.71%, b2=51.01%, b3=50.70%
Pozicija 11: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.973%, Mažiausias pasikartojimo dažnis: 1.356%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.54%, b1=52.46%, b2=52.72%, b3=52.50%
